title,miles,price,location,link,year
2010 Nissan Sentra,1000.0,2500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/662267854473784/,2010.0
2011 Ford F-350 Lariat Pickup 4D 6 3/4 ft,140000.0,24000.0,"Greeley, CO",https://www.facebook.com/marketplace/item/1245414705829548/,2011.0
2007 Suzuki Forenza Sedan 4D,74000.0,3300.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/220200579362625/,2007.0
1999 Honda Accord,172000.0,1750.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/396695778180817/,1999.0
,,4500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/810534399692430/,
2002 Honda Accord,189000.0,1500.0,"Aurora, CO",https://www.facebook.com/marketplace/item/577923422888526/,2002.0
2007 Chrysler Sebring Sedan 4D,225000.0,2450.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/3405811589536314/,2007.0
1996 Nissan Maxima SE Sedan 4D,174000.0,600.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/651749495511465/,1996.0
2006 Nissan Altima 2.5 S Sedan 4D,200000.0,1100.0,"Denver, CO",https://www.facebook.com/marketplace/item/1261856540830356/,2006.0
2007 Nissan Quest S Minivan 4D,138000.0,2500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/1052517541836100/,2007.0
2007 Nissan Sentra,142000.0,3200.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/2764256847161372/,2007.0
2005 BMW X5 4.4i Sport Utility 4D,120000.0,5500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/341834680403091/,2005.0
1992 Ford Bronco,160000.0,3500.0,"Littleton, CO",https://www.facebook.com/marketplace/item/507998410607342/,1992.0
2003 Chevrolet TrailBlazer LT Extended Sport Utility 4D,200000.0,2250.0,"Denver, CO",https://www.facebook.com/marketplace/item/281518486377138/,2003.0
2005 Subaru Outback,153000.0,2500.0,"Lakewood, CO",https://www.facebook.com/marketplace/item/3715469425139320/,2005.0
1999 Mazda 626 LX Sedan 4D,145000.0,2125.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/2428823717423088/,1999.0
1999 Chevrolet Silverado 1500 Short Bed,126000.0,6499.0,"Aurora, CO",https://www.facebook.com/marketplace/item/3461519973887908/,1999.0
2007 Chevrolet Avalanche Black Diamond LS Sport Utility Pickup 4D 5 1/4 ft,33000.0,7000.0,"Denver, CO",https://www.facebook.com/marketplace/item/708602873017050/,2007.0
2000 Honda Accord LX Sedan 4D,185000.0,1700.0,"Aurora, CO",https://www.facebook.com/marketplace/item/1376776969380024/,2000.0
2006 Nissan Altima 2.5 Sedan 4D,215000.0,1500.0,"Littleton, CO",https://www.facebook.com/marketplace/item/2935780283311465/,2006.0
2006 Kia Sorento LX Sport Utility 4D,188000.0,2800.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/775419756584790/,2006.0
2009 Chevrolet Colorado,120000.0,3000.0,"Denver, CO",https://www.facebook.com/marketplace/item/357563568785092/,2009.0
2006 Chevrolet TrailBlazer,244000.0,2000.0,"Longmont, CO",https://www.facebook.com/marketplace/item/3227553490677094/,2006.0
1991 Chevrolet S-10 Sport Utility 2D,187000.0,2500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/757763145015508/,1991.0
2004 Dodge Dakota,13000.0,1800.0,"Bayard, NE",https://www.facebook.com/marketplace/item/2729563267315130/,2004.0
1997 Toyota Corolla,176000.0,1400.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/831310700938336/,1997.0
1999 Dodge Dakota R/T,114000.0,1500.0,"Commerce City, CO",https://www.facebook.com/marketplace/item/2778979945679595/,1999.0
2005 Nissan Altima 2.5 S Sedan 4D,250000.0,900.0,"Peyton, CO",https://www.facebook.com/marketplace/item/352464182471186/,2005.0
2008 GMC Acadia,128000.0,5500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/695310574374352/,2008.0
1994 Honda Civic LX Sedan 4D,188000.0,1234.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/649180475725153/,1994.0
1997 Blue Bird Bus,,5400.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/797785081038511/,1997.0
